id,service_name,address,latitude,longitude,services_offered,details_url,scrape_ts,state,postcode
SVC1000,Bromelton Energy & Resource Centre,"Lot 1 Beaudesert-Boonah Road, Bromelton QLD",-27.975059190727382,-27.975059190727382,Miscellaneous,https://www.cleanaway.com.au/location/bromelton-energy-and-resource-centre/,2024-07-26 00:04:00,QLD,4285
SVC1001,Albany Material Recovery Facility,"2-16 Cuming Road & 37 Maxwell Street, Albany, WA, 6330",-35.01078332713777,-35.01078332713777,Solid waste services,https://www.cleanaway.com.au/location/albany/,2024-07-26 00:04:09,WA,6330
SVC1001,Albany Material Recovery Facility,"2-16 Cuming Road & 37 Maxwell Street, Albany, WA, 6330",-35.01078332713777,-35.01078332713777,Office,https://www.cleanaway.com.au/location/albany/,2024-07-26 00:04:09,WA,6330
SVC1002,Albury-Wodonga Solid Waste Services,"26 Reiff St, Lavington, NSW, 2641",-36.037913,-36.037913,Solid waste services,https://www.cleanaway.com.au/location/lavington/,2024-07-26 00:04:14,NSW,2641
SVC1003,Alexandra Solid Waste Services,"4-8 Station Street, Alexandra, VIC, 3714",-37.183192,-37.183192,Solid waste services,https://www.cleanaway.com.au/location/alexandra/,2024-07-26 00:04:21,VIC,3714
SVC1004,Cleanaway Alice Springs Solid Waste Depot,"6 Wilkinson Street, Ciccone, NT, 0870",-23.700021,-23.700021,Solid waste services,https://www.cleanaway.com.au/location/alice-springs/,2024-07-26 00:04:30,NT,0870
SVC1005,Cleanaway Allerton Road Albany Solid Waste Depot,"12 Allerton Road, Albany, WA, 6330",-35.019758,-35.019758,Solid waste services,https://www.cleanaway.com.au/location/albany-2/,2024-07-26 00:04:37,WA,6330
SVC1006,Cleanaway Altona - Solid Waste Services,"72/80 Harcourt Rd, Altona, VIC, 3018",-37.850366199805535,-37.850366199805535,Solid waste services,https://www.cleanaway.com.au/location/altona/,2024-07-26 00:04:44,VIC,3018
SVC1006,Cleanaway Altona - Solid Waste Services,"72/80 Harcourt Rd, Altona, VIC, 3018",-37.850366199805535,-37.850366199805535,Office,https://www.cleanaway.com.au/location/altona/,2024-07-26 00:04:44,VIC,3018
SVC1007,Cleanaway Armidale - Solid Waste Services,"288 Mann St, Armidale, NSW, 2350",-30.51527835194161,-30.51527835194161,Solid waste services,https://www.cleanaway.com.au/location/armidale/,2024-07-26 00:04:51,NSW,2350
SVC1008,Artarmon Resource Recovery Centre,"12 Lancely Place, Artarmon. NSW 2064",-33.81941739932726,-33.81941739932726,Solid waste services,https://www.cleanaway.com.au/location/cleanaway-artarmon-resource-recovery-centre/,2024-07-26 00:04:57,NSW,2064
SVC1009,Cleanaway Ashmore Solid Waste Services,"50-60 Harper St, Molendinar QLD 4214",-27.9851011151081,-27.9851011151081,Solid waste services,https://www.cleanaway.com.au/location/ashmore/,2024-07-26 00:05:05,QLD,4214
SVC1010,Auburn Resource Recovery Centre,"Old Hill Link, Sydney Olympic Park, NSW 2217",-33.84398343886091,-33.84398343886091,Solid waste services,https://www.cleanaway.com.au/location/cleanaway-auburn-resource-recovery-centre/,2024-07-26 00:05:14,NSW,2217
SVC1011,Cleanaway Ayr - Solid Waste Services,"Mackenzie Street, Ayr, QLD, 4807",-19.56460801156244,-19.56460801156244,Solid waste services,https://www.cleanaway.com.au/location/ayr/,2024-07-26 00:05:21,QLD,4807
SVC1011,Cleanaway Ayr - Solid Waste Services,"Mackenzie Street, Ayr, QLD, 4807",-19.56460801156244,-19.56460801156244,Office,https://www.cleanaway.com.au/location/ayr/,2024-07-26 00:05:21,QLD,4807
SVC1012,Cleanaway Bairnsdale Solid Waste Services,"57 Forge Creek Road, Bairnsdale, VIC, 3875",-37.83739425485061,-37.83739425485061,Solid waste services,https://www.cleanaway.com.au/location/bairnsdale/,2024-07-26 00:05:28,VIC,3875
SVC1013,Cleanaway Batemans Bay - Solid Waste Services,"36 Cranbrook Road, Batemans Bay, NSW, 2536",-35.720454277209235,-35.720454277209235,Solid waste services,https://www.cleanaway.com.au/location/batemans-bay/,2024-07-26 00:05:35,NSW,2536
SVC1013,Cleanaway Batemans Bay - Solid Waste Services,"36 Cranbrook Road, Batemans Bay, NSW, 2536",-35.720454277209235,-35.720454277209235,Office,https://www.cleanaway.com.au/location/batemans-bay/,2024-07-26 00:05:35,NSW,2536
SVC1014,Cleanaway Bathurst - Solid Waste Services,"22 Upfold Street, Bathurst, NSW, 2795",-33.426071238905635,-33.426071238905635,Solid waste services,https://www.cleanaway.com.au/location/bathurst-2/,2024-07-26 00:05:43,NSW,2795
SVC1014,Cleanaway Bathurst - Solid Waste Services,"22 Upfold Street, Bathurst, NSW, 2795",-33.426071238905635,-33.426071238905635,Office,https://www.cleanaway.com.au/location/bathurst-2/,2024-07-26 00:05:43,NSW,2795
SVC1015,Cleanaway Bega - Solid Waste Services,"116 Kerrison Lane, Bega, NSW, 2550",-36.71134645576057,-36.71134645576057,Solid waste services,https://www.cleanaway.com.au/location/bega/,2024-07-26 00:05:48,NSW,2550
SVC1015,Cleanaway Bega - Solid Waste Services,"116 Kerrison Lane, Bega, NSW, 2550",-36.71134645576057,-36.71134645576057,Office,https://www.cleanaway.com.au/location/bega/,2024-07-26 00:05:48,NSW,2550
SVC1016,Cleanaway Belrose Resource Recovery Centre,"End of Crozier Road, Belrose. NSW 2085",-33.71595868590502,-33.71595868590502,Solid waste services,https://www.cleanaway.com.au/location/cleanaway-belrose-resource-recovery-centre/,2024-07-26 00:05:54,NSW,2085
SVC1017,Benalla,"13 Enterprise Dr, Benalla, VIC, 3672",-36.543278,-36.543278,Solid waste services,https://www.cleanaway.com.au/location/benalla/,2024-07-26 00:06:01,VIC,3672
SVC1018,Cleanaway Beresfield Newcastle - Solid Waste Services,"16 Canavan Drive, Beresfield, NSW, 2320",-32.79962745880024,-32.79962745880024,Solid waste services,https://www.cleanaway.com.au/location/beresfield/,2024-07-26 00:06:08,NSW,2320
SVC1019,Cleanaway Beresfield CDS Depot,"2 Balbu Close, Beresfield, NSW, 2322",-32.80884244561758,-32.80884244561758,Miscellaneous,https://www.cleanaway.com.au/location/beresfield-cds-depot/,2024-07-26 00:06:16,NSW,2322
SVC1020,Cleanaway Beresfield - Solid Waste Services,"2 Balbu Close, Beresfield, NSW, 2322",-32.80876,-32.80876,Solid waste services,https://www.cleanaway.com.au/location/beresfield-solid-waste/,2024-07-26 00:06:25,NSW,2322
SVC1021,Cleanaway Bohle – Liquid Waste Services,"96-102 Enterprise Street, Bohle, QLD, 4818",-19.254033568829477,-19.254033568829477,Liquid waste services,https://www.cleanaway.com.au/location/bohle/,2024-07-26 00:06:31,QLD,4818
SVC1021,Cleanaway Bohle – Liquid Waste Services,"96-102 Enterprise Street, Bohle, QLD, 4818",-19.254033568829477,-19.254033568829477,Industrial waste services,https://www.cleanaway.com.au/location/bohle/,2024-07-26 00:06:31,QLD,4818
SVC1022,Cleanaway Bohle - Solid Waste Services,"77-97 Enterprise Street, Bohle, QLD, 4818",-19.254777104275867,-19.254777104275867,Solid waste services,https://www.cleanaway.com.au/location/bohle-2/,2024-07-26 00:06:39,QLD,4818
SVC1023,Cleanaway Bowen - Solid Waste Services,"Reynolds St &, Norris St, Bowen QLD 4805",-20.011933975163764,-20.011933975163764,Solid waste services,https://www.cleanaway.com.au/location/bowen/,2024-07-26 00:06:49,QLD,4805
SVC1024,Cleanaway Brooklyn Resource Recovery Centre,"174 Old Geelong Road, Brooklyn, VIC, 3012",-37.81864883651084,-37.81864883651084,Solid waste services,https://www.cleanaway.com.au/location/brooklyn/,2024-07-26 00:06:56,VIC,3012
SVC1025,Cleanaway Broome Solids Waste Services,"18 Archer St, Broome, WA, 6725",-17.981996102562615,-17.981996102562615,Solid waste services,https://www.cleanaway.com.au/location/broome/,2024-07-26 00:07:01,WA,6725
SVC1026,Cleanaway Buckley Grove Moolap Depot,"61-65 Buckley Grove, Moolap, VIC 3224",-38.16508975539242,-38.16508975539242,Solid waste services,https://www.cleanaway.com.au/location/buckley-grove-moolap/,2024-07-26 00:07:08,VIC,3224
SVC1027,Cleanaway Bundaberg East - Solid Waste Services,"Shed 7 - No. 9 Steptoe Street, East Bundaberg, QLD, 4670",-24.864322017617887,-24.864322017617887,Solid waste services,https://www.cleanaway.com.au/location/bundaberg-2/,2024-07-26 00:07:17,QLD,4670
